,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
47,"He figured it was so old, it'd be sold online for very little money.",1,1,0,0,0,0,0,1
48,But Yoshio was very wrong-the console was insanely expensive!,1,1,1,1,1,1,1,1
49,It was now a collector's item instead of just a toy.,1,1,0,1,0,0,0,1
50,Gina returned to her desk from the bathroom.,0,1,1,0,1,0,0,0
51,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,0
52,They stopped and looked at Gina.,0,0,0,0,0,0,0,0
53,Gina knew they had been talking about her.,0,0,1,1,1,1,1,1
54,And she knew Rita had told Mary what she promised to keep secret.,0,1,1,1,1,1,1,1
55,I lived in Texas.,0,0,0,0,0,0,0,0
56,My parents got new jobs.,1,0,0,0,0,0,0,0
57,We packed our stuff in boxes.,1,1,0,0,1,0,0,1
58,We put them in the moving van.,0,0,0,0,0,0,0,0
59,We moved to Alabama.,0,0,1,1,1,0,0,1
60,A monkey watched a crowd of children walk past his cage.,0,0,0,0,0,0,0,0
61,He jumped around for the kids to entice them.,1,1,0,1,0,0,0,1
62,One child saw this action and was drawn into the monkey.,1,1,0,1,0,0,0,1
63,The kid felt like he should reward the monkey for the entertainment.,1,1,0,0,0,0,0,1
64,The kid threw some of his food over the fence to feed the monkey.,1,0,0,0,0,0,0,1
65,Vincent had two dogs that always fought.,0,0,0,0,0,0,0,0
66,He called the Dog Whisperer Cesar Millan to sort out their problems.,1,1,0,0,0,0,0,1
67,Caesar said Vincent was the problem.,0,0,0,1,1,0,0,0
68,He had Vincent assert his dominance.,0,0,0,1,0,0,0,0
69,Vincent asserted his dominance right into Caesar's butt.,1,1,0,0,0,0,0,1
70,A boy pick up a rock at the beach.,1,0,0,0,0,0,0,1
71,He felt the texture and inspected it for smoothness.,0,0,0,0,0,0,0,1
72,He approved of the rock for a skipping stone.,1,1,0,0,0,0,0,1
73,The boy brought his arm back and waited for calm water.,1,0,0,0,0,0,0,1
74,During a lull he threw the stone and it skipped 11 times on the water.,1,0,0,1,0,0,0,0
75,The tiny green alien was made of plastic.,0,0,0,0,0,0,0,0
76,The girl giggled as it popped open against the fridge.,1,0,0,1,0,0,0,0
77,She touched the magnet gently against the metal.,1,0,0,1,0,0,0,1
78,The eyes popped open and its ears shot up.,0,0,0,0,0,0,0,0
79,"She did it over and over again, laughing.",1,0,0,1,0,0,0,0
80,My foot has been itching badly since I got that mosquito bite.,0,0,0,1,1,1,1,0
81,I have been scratching the bite all day long since I got it.,0,0,0,0,0,1,1,0
82,The mosquito bit me on the bottom of my foot.,0,0,0,0,0,1,1,0
83,The ointment I put on it didn't really help much.,1,1,0,1,0,1,1,1
84,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,1,1,1,1
85,Margaret couldn't afford her regular eye makeup anymore.,0,0,1,1,1,1,1,0
86,So she went to the store for free samples.,0,0,0,0,1,1,1,0
87,She used the samples until they ran out.,0,0,0,0,1,1,0,0
88,Turns out she liked one of them.,1,1,0,1,0,0,0,1
89,And it was cheaper than what she usually wore!,1,1,0,1,1,1,1,1
90,I was very excited to go downtown to do some shopping.,1,0,0,0,0,0,0,1
91,I woke up in the morning and got all dressed up.,0,0,0,0,0,0,0,0
92,I looked out the window and saw it was raining very heavily.,0,0,0,1,1,0,1,0
93,I became very sad.,0,0,0,0,1,0,0,0
94,So I stayed home by myself all day instead.,0,0,0,0,1,0,0,0
95,The Sharks had a game against the Fins on Sunday.,0,0,0,0,0,0,0,0
96,The Sharks goalie was hurt and couldn't play.,1,0,0,0,1,0,0,0
97,James was asked to fill in.,1,0,1,0,1,0,0,1
98,Everyone cheered him on.,1,1,0,0,0,0,0,1
99,James blocked every shot and skyrocketed to superstar status.,1,0,0,0,0,0,0,0
100,Every Sunday I get pizza.,0,0,0,0,0,0,0,0
101,This Sunday I decided to try a new place.,1,1,0,0,0,0,0,1
102,I ate a whole pizza to myself.,1,1,0,0,0,0,0,1
103,I felt very full but satisfied.,1,0,0,0,0,0,0,0
104,I immediately fell asleep when I got home.,1,1,0,1,0,0,0,1
105,Shawn is out shopping one day.,0,0,0,0,0,0,0,0
106,He needed a good pair of jeans at the Mall.,1,0,0,1,0,0,0,1
107,After buying his jeans he walks by an animal shop and sees a dog.,1,1,0,1,0,0,0,1
108,Shawn falls in love with the dog at the store.,1,1,0,1,0,0,0,1
109,Shawn buys the dog and the two become best friends.,1,1,0,0,0,0,0,1
110,A man was on a flight back home to his wife.,1,0,0,0,0,0,0,1
111,When suddenly the flight was canceled due to bad weather.,0,0,0,1,1,0,1,1
112,"He was stuck on the tarmac, and his wife called.",0,0,1,1,1,1,1,1
113,She was furious that he was late.,0,0,0,1,1,1,1,0
114,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,1,1,1,1,0
115,Joe hates to cut his hair.,0,0,0,0,1,1,1,0
116,His hair is so long he can't see.,0,0,1,0,1,0,0,0
117,Joe wrecked his bike because he couldn't see.,0,0,1,1,1,1,1,0
118,He decided he had to get his hair cut.,0,0,0,0,1,0,0,0
119,He walked up town to the barber.,0,0,1,0,1,0,0,1
120,Mike was walking with his phone in his hand.,0,0,0,0,0,0,0,0
121,He wasn't paying any attention to where he was going.,1,1,0,1,0,0,0,1
122,His head was down and he mindlessly walked into a tree.,0,0,0,1,0,0,1,0
123,"His phone fell from his hands landing face down, he hoped it was ok.",0,0,1,0,0,0,0,1
124,When he picked it up he realized it had shattered into pieces.,0,0,0,0,1,1,1,0
125,Matt walked on to the bus looked for a seat.,1,1,0,1,0,0,1,1
126,He could not find any open seat so he stood.,0,0,0,1,1,0,1,0
127,A person offered his seat to Matt if he gave him $20.,1,1,0,1,0,1,1,1
128,Matt told the person that he was being unfair.,0,0,0,1,1,1,1,0
129,The person shrugged and ignored Matt for the rest of his ride.,0,0,0,0,0,1,1,0
130,Jennifer visited Florida with her grandparents.,1,0,0,0,0,0,0,0
131,"They stayed in a resort, and their room had a backyard.",1,0,0,1,0,0,0,0
132,Jennifer woke up early one day and noticed cranes out back.,1,0,0,0,0,0,0,0
133,"Excited, she ran in to get bread.",1,1,0,1,0,0,0,1
134,"The cranes are out of her hand, and she enjoyed it very much.",1,0,0,0,0,0,0,0
135,Martha was very insecure with herself,0,0,0,0,1,1,0,0
136,She had a boyfriend named Alain,0,0,1,0,1,0,0,0
137,She would constantly accuse him of cheating,0,0,1,0,1,1,1,0
138,One day things got so bad and they got in a fight,0,0,0,0,1,0,1,0
139,Alain reassured martha of his love for her and they were happy.,1,1,0,0,0,0,0,0
140,Nora's female cat ran away from home.,0,0,1,0,1,0,0,0
141,Nora was devastated!,0,0,0,0,1,0,0,0
142,"Then a neighbor returned the cat, which had been in his yard.",1,1,0,0,0,0,0,0
143,"He warned Nora that he had a male cat, but Nora only smiled.",1,0,0,1,0,0,0,0
144,She wasn't worried because she had had her cat fixed!,0,1,0,1,0,0,0,0
145,My friend's sister had a bulldog.,0,0,0,0,0,0,0,0
146,The dog wandered out on the street one day.,0,0,1,1,1,0,0,0
147,It was killed by a car.,0,0,0,0,1,0,1,0
148,She bought the same type of dog a year later.,1,0,0,0,0,0,0,0
149,She keeps a close eye on it.,0,0,1,0,0,0,0,1
150,"Monday is Barry's 45th birthday, two days away.",1,0,0,0,0,0,0,1
151,He is excited but secretly hoping there will not be a surprise party.,0,0,1,0,0,0,0,1
152,Barry's girlfriend decides this year she won't throw a party.,1,1,0,0,0,0,0,0
153,She remembered him talking about a saltwater guided fishing trip.,1,1,0,1,0,0,0,1
154,So on Monday she surprised him with the fishing trip plan and passes.,1,1,0,1,0,0,0,1
155,While on her way to school Mary's backpack broke.,0,0,0,1,1,1,0,0
156,Her books fell all over the sidewalk.,0,0,0,1,0,1,1,0
157,She decided to go to the mall the next day.,0,0,0,0,0,0,0,1
158,While searching for a new bag she found a very beautiful one.,1,0,0,1,0,0,0,1
159,The new bag is much stronger and she receives many compliments.,1,1,0,0,0,0,0,1
160,Tony had just moved into a new home.,1,0,0,0,0,0,0,0
161,He had dozens of boxes to unpack.,0,0,0,0,1,1,0,1
162,He invited his friends over to help him.,1,1,0,1,0,0,0,1
163,The work was done quickly.,1,1,0,1,0,0,0,1
164,Tony ordered pizza for his friends in appreciation.,1,1,0,1,0,0,0,1
165,I had my first kiss when I was 15.,1,1,0,0,0,0,0,0
166,The boy told me I was a bad kisser.,0,0,0,1,1,1,1,0
167,I saw him again when I was older.,0,0,1,1,1,1,1,0
168,I decided to kiss him again.,1,1,1,1,0,0,1,1
169,He was amazed at how good of a kisser I had become.,1,1,0,1,0,0,0,1
170,Mary and Ted found out they were expecting a baby.,1,1,0,1,0,0,0,1
171,They decided to turn the spare bedroom into a nursery.,1,1,1,1,0,0,0,1
172,The couple went and bought new furnishings at a baby store.,1,1,0,0,0,0,0,1
173,They decorated and repainted the room a light green.,1,1,0,1,0,0,0,1
174,The nursery was ready for when the baby arrived.,1,0,0,1,0,0,0,1
175,Julie took a large canvas tent out camping.,1,1,0,1,0,0,0,1
176,She loved the tent because it was so spacious.,1,0,0,0,0,0,0,1
177,After the first night it rained and the canvas tent started to leak.,1,0,0,1,1,1,1,0
178,She was miserable the whole time on this camping trip.,0,0,0,0,1,1,1,0
179,Julie now uses a nylon tent when she goes camping.,1,0,0,0,0,0,0,1
180,Tom was discussing music with his friends.,1,1,0,0,0,0,0,0
181,His friends asked Tom who his favorite musician was.,0,0,0,0,0,0,0,1
182,Tom said Jimi Hendrix was the best guitar player in history.,1,0,0,0,0,0,0,0
183,His friends listened to Jimi Hendrix.,1,1,0,1,0,0,0,1
184,His friends agreed.,1,1,0,0,0,0,0,1
185,Kate needed a new hat.,0,0,0,0,0,0,0,0
186,She decided to make her own.,1,1,0,0,0,0,0,1
187,She gathered the materials and she found a tutorial.,1,1,0,1,0,0,0,1
188,She worked all night sewing her new hat.,1,1,0,0,0,0,0,1
189,"At work, everyone complimented her unique hat.",1,1,0,1,0,0,0,0
190,Davis never liked the idea of fishing.,0,0,0,0,0,1,0,0
191,"However, in his town all young men are expected to fish.",0,0,0,0,1,0,1,0
192,Finally Davis goes fishing for sea bass.,0,0,0,0,1,0,0,0
193,He catches a mighty sea bass on his first try.,1,0,0,1,0,0,0,0
194,Davis decides that fishing is more fun than he thought.,1,0,0,1,0,0,0,0
195,I was painting the living room last week.,0,0,0,0,0,0,0,0
196,All of a sudden I noticed that I spilled some paint on the rug.,0,0,0,1,0,1,1,0
197,It was a big bright spot.,0,0,1,1,1,1,1,1
198,I tried everything to get it out.,0,0,0,0,0,1,1,1
199,Finally I decided to just put a chair over it.,1,0,1,0,1,1,1,1
200,Kate had gone swimming at the park.,1,0,0,0,0,0,0,0
201,She hadn't asked for permission from her mother.,0,0,1,1,1,0,1,0
202,Her mother found out and was very upset.,0,0,1,1,1,0,1,0
203,Kate was grounded for a week as a result.,1,1,1,1,1,1,1,1
204,Kate was stuck in the house watching boring daytime TV for a week.,0,0,0,1,1,1,1,0
205,Ned had signed up his son to play tee ball.,1,0,0,0,0,0,0,0
206,There weren't enough coaches in the league.,0,0,0,0,0,0,0,0
207,The director asked Ned to help coach the team.,1,0,0,0,0,0,0,0
208,Ned agreed to help coach the team.,1,1,0,1,0,0,0,1
209,His son enjoyed having him around.,1,0,0,0,0,0,0,0
210,My friend Bobby called to invite me out to dinner.,0,0,0,0,0,0,0,0
211,"We settled on a date, time, and place.",1,0,0,0,0,0,0,1
212,"When I got there, Bobby surprised me.",1,1,0,1,0,0,0,1
213,It was a party with many of our friends for my upcoming birthday.,1,1,0,1,0,0,0,1
214,"I never suspected a thing, but it was a great evening.",1,1,0,1,0,0,0,1
215,Ynez was a firefighter.,0,0,0,0,0,0,0,0
216,She took the job because of the prospect of heroism.,1,1,0,1,1,0,0,1
217,"In actuality, the job mostly involved sitting around for hours on end.",0,1,0,0,1,1,1,1
218,But the boredom was punctuated by small bursts of exciting fear.,1,0,1,0,1,0,0,1
219,Overall Ynez was satisfied with her work.,1,1,0,0,0,0,0,1
220,Bill had just got a new job.,1,1,1,1,0,0,0,1
221,He was anxious about starting it.,0,0,1,0,0,0,0,1
222,"On his first day, he met a beautiful woman that he talked to.",1,0,0,1,0,0,0,1
223,She soon became his girlfriend.,1,1,0,0,0,0,0,0
224,"He totaled forgot about his nervousness, and focused on her.",1,1,0,1,0,0,0,1
225,One of my daughter's friends got married a few days ago.,1,0,0,0,0,0,0,0
226,One of her bridesmaids was depressed.,0,0,0,0,1,0,0,0
227,She had just broken up with her boyfriend.,0,0,0,0,1,0,0,0
228,She left his home and moved back in with her mom.,0,0,0,0,1,0,0,0
229,The other bridesmaids gave her their support.,0,1,0,0,1,0,0,0
230,Roger was riding his bike to work like he usually does.,1,0,0,0,0,0,0,0
231,Roger used the bike path and followed all the traffic rules.,0,0,0,0,0,0,0,0
232,"A car veered close to Roger, the driver was unaware on his phone.",0,0,1,1,1,1,1,1
233,The car turned and struck Roger on his bike!,0,1,1,1,1,1,1,1
234,Roger was okay though he only got a few bruises.,1,1,1,1,1,1,1,1
235,Teddy had a passion.,1,0,0,0,0,0,0,1
236,He had a passion to change his country for better.,1,1,0,0,0,0,0,1
237,So he ran for president.,1,0,0,0,0,0,0,1
238,Teddy told the american people what they wanted to hear.,1,1,0,0,0,0,0,1
239,Teddy got elected and become the president.,1,1,0,1,0,0,0,1
240,Maria saw an elderly man with a cane struggling with a bag of garbage.,0,1,0,0,1,0,0,0
241,He was walking it to the apartment complex's garbage dumpster.,0,1,0,0,1,0,1,0
242,It was about a quarter mile up the road.,0,0,0,0,0,0,0,0
243,"Maria hated the idea of a bag of trash in her car, but she felt moved.",0,1,1,1,1,1,0,0
244,She drove his trash to the dumpster for him.,1,0,0,0,0,0,0,0
245,"After Fran and Burt finished their dinner, they walked for awhile.",0,0,0,0,0,0,0,0
246,"Passing by the Ferris Wheel, they got in line to ride.",1,0,0,0,0,0,0,1
247,Their turn finally came.,1,0,0,0,0,0,0,1
248,They gave the attendant their tickets and climbed in their car.,1,1,0,0,0,0,0,1
249,It was such a fun ride.,1,0,0,0,0,0,0,1
250,Oliver had a dog named Auri.,0,0,0,0,0,0,0,0
251,Auri was his best friend since he was very young.,1,1,0,0,0,0,0,1
252,She had a heart condition that made it hard for her to play roughly.,0,0,1,0,1,0,0,0
253,Oliver was very careful with her as he grew up.,0,1,0,0,1,0,0,1
254,"Auri lived to the old age of 15, despite the heart condition.",1,1,1,1,1,0,0,0
255,Jack has lost his cellphone.,0,0,1,0,1,0,1,0
256,He has searched the entire house multiple times.,0,0,1,0,1,0,1,0
257,Jack was beginning to worry that he might never find it.,0,0,1,1,1,1,1,1
258,He pulled his phone out of his pocket to call the phone to find it.,1,1,1,1,0,0,1,1
259,Jack suddenly realized what an idiot he had been.,1,1,0,1,1,1,1,0
260,The server gave me my food.,1,0,0,0,0,0,0,1
261,I immediately took a bite out of it.,1,0,0,0,0,0,0,1
262,"A few seconds later, I threw up on the table.",0,0,1,1,0,1,1,0
263,"When I looked into the food, I found out that it was raw.",0,0,0,1,0,1,1,0
264,The manager gave me a refund.,1,0,0,1,0,1,0,0
265,Beth is baking cookies for her daughter's party.,1,1,0,0,0,0,0,1
266,She starts with putting the dough on the pan.,1,0,0,0,0,0,0,1
267,Then she adds the chocolate chips.,1,0,0,1,0,0,0,1
268,She then puts the cookies in the oven.,1,1,0,0,0,0,0,1
269,Busy with cleaning she forgets the cookies and burns them.,0,0,0,0,1,1,1,0
270,My son loves bedtime stories.,1,1,0,0,0,0,0,1
271,My mother bought my son 20 books.,1,0,0,1,0,0,0,1
272,My son wanted all 20 books read to him.,1,1,0,0,0,0,0,1
273,I diligently read all 20 books to my child.,1,1,0,0,0,0,0,1
274,My son enjoyed his new stories being read to him.,1,1,0,0,0,0,0,0
275,Johnny loved his red and blue ball.,1,0,0,0,0,0,0,0
276,He'd spend hours kicking it around his yard.,1,0,0,0,0,0,0,1
277,One day he accidentally kicked it into his new neighbor's yard.,0,0,1,0,1,0,0,0
278,Their house was empty so he hopped the fence to retrieve the ball.,0,0,1,0,1,0,0,0
279,Once in the neighbor's yard Johnny met their mean dog Sampson.,1,0,1,1,0,0,0,0
280,One day Timothy and his dad went fishing.,0,0,0,0,0,0,0,0
281,Timothy caught a bass.,1,0,0,1,0,0,0,0
282,His dad was proud of him.,1,1,0,1,0,0,0,1
283,Timothy was proud too.,1,1,0,1,0,0,0,1
284,They had a good time that day.,1,1,0,0,0,0,0,0
285,Several people were walking around the mall.,1,0,0,0,0,0,0,1
286,A 12 year old kid was walking around with a butcher knife.,0,0,1,1,0,1,1,0
287,Several people noticed and decided to run away.,0,0,1,1,0,0,0,0
288,"In addition, the security guards noticed the kid.",0,0,1,1,0,1,1,1
289,They confiscated the knife and arrested him.,1,1,1,1,0,1,1,1
290,I really wanted cable television.,0,0,0,0,1,0,0,0
291,"However, I was not able to afford it.",0,0,0,0,1,0,1,0
292,I asked my friends for advice.,0,0,0,0,0,0,0,0
293,They came up with the perfect solution.,1,1,0,1,0,0,0,1
294,I could watch cable tv at their places whenever I wanted.,1,1,0,0,0,0,0,0
295,Gordo hates the idea of having to give a presentation.,0,0,1,0,1,0,0,1
296,Gordo begins drinking due to stress.,1,0,1,0,1,0,0,1
297,Gordo loses self confidence.,0,0,1,0,1,1,0,0
298,Gordo calls in sick to avoid giving a presentation.,0,0,1,0,0,0,0,1
299,Gordo loses his job.,0,0,1,0,1,1,1,0
300,There was a man who scavenged the streets in search for lost change.,0,1,1,0,1,1,1,0
301,He came across a rare quarter that was worth 50 cents.,1,0,0,1,0,0,0,0
302,He made a note of this gain for tax purposes later on in the year.,1,1,0,1,0,0,0,1
303,This quarter made the 50th dollar he found that year.,1,0,0,1,0,0,0,0
304,The man figured at that rate he'll have $60 by December.,1,0,0,0,0,0,0,1
305,Ashlynn Loved Facebook.,1,0,0,0,0,0,0,0
306,She had many different friends she chatted with daily.,0,0,0,0,0,0,0,0
307,"Her friend, Lori, made a negative comment about Donald Trump.",1,0,0,0,0,0,1,0
308,Ashlynn and Lori got into a flame war.,0,0,1,1,1,1,1,0
309,Lori deleted Ashlynn from Facebook.,0,0,0,0,0,1,1,0
310,We used to live by a pond.,0,0,0,0,0,0,0,0
311,My friend Gary claimed the pond had big carp.,1,0,1,1,0,0,0,1
312,"He tried to catch one, without success.",0,0,1,1,1,1,1,0
313,One year they drained the pond and found a lot of carp.,0,0,0,0,0,0,0,0
314,My friend said he knew that would be the case.,1,1,0,0,0,0,0,1
315,Todd was mowing his yard.,0,0,0,0,0,0,0,0
316,There was a snake in the grass.,0,0,1,1,0,0,0,0
317,Todd passed over the snake.,0,0,1,1,0,0,0,0
318,It killed the snake.,0,0,0,0,0,0,0,0
319,Todd was disgusted with the mess.,0,0,0,0,0,1,0,0
320,Men and Women think very differently.,0,0,0,0,0,0,0,0
321,A man generally thinks with the left side of his brain.,0,0,0,0,0,0,0,0
322,A woman will use mostly the right side of her brain.,0,0,0,0,0,0,0,0
323,"A man challenges a woman, while the women also challenges a man.",0,0,0,0,0,0,0,0
324,"This is why they say opposites attract, keeping each other on our toes.",0,0,0,0,0,0,0,0
325,Tom was having a great day.,1,0,0,0,0,0,0,0
326,He was out to lunch at his favorite mexican spot.,1,1,0,1,0,0,0,1
327,He ordered 5 tacos and a burrito.,1,0,0,0,0,0,0,1
328,After lunch on the way home tom felt a tremble.,0,0,0,0,1,1,0,1
329,His stomach was about to explode!,0,0,1,1,0,1,0,1
330,Liz loved mashed potatoes.,1,1,0,1,0,0,0,1
331,She decided to make some.,1,0,0,0,0,0,0,1
332,"As she was mixing in the milk, she poured too much.",0,0,0,0,1,1,0,0
333,She was not able to scoop it out.,0,0,0,0,1,0,1,0
334,Liz had runny mashed potatoes and ate them anyway.,0,0,0,0,1,1,1,0
335,Late last night I woke up when I heard a noise.,0,0,1,1,0,0,0,1
336,It was very dark and scary in my room.,0,0,1,0,0,0,0,1
337,I checked in my closet.,0,0,1,1,0,0,0,1
338,When I looked in there I got very spooked.,0,0,1,1,0,0,0,1
339,My friend had been hiding in there the whole time.,1,1,0,1,0,0,0,1
340,Tom had an old laptop.,0,0,1,0,1,1,0,0
341,He didn't want to replace it.,0,0,0,0,1,0,0,0
342,After a while it kept breaking too much.,1,0,1,1,1,1,1,1
343,He couldn't keep fixing it.,1,0,1,1,1,0,1,1
344,Tom bought finally bought a replacement.,1,0,0,0,0,0,0,1
345,"Tonight, Mary had a tutoring job at Samantha's house.",0,0,0,0,0,0,0,0
346,"When she arrived, Samantha had her notes out and was ready to learn.",1,1,0,0,0,0,0,1
347,"Mary came prepared, and taught Samantha the lesson.",1,1,0,0,0,0,0,1
348,Mary also helped prepare Samantha for her upcoming test.,1,1,0,1,0,0,0,1
349,"At the end, Mary was paid and went home for the evening.",1,1,0,1,0,0,0,1
350,I started to feel gross.,0,0,1,0,1,1,0,0
351,I just wanted to stop working and go home.,1,0,0,0,1,1,0,1
352,"When I got there, I took a shower.",1,0,0,0,0,0,0,1
353,I used my favorite scented shampoo.,1,1,0,0,0,0,0,1
354,It made me feel a lot better.,1,1,0,0,0,0,0,0
355,I was asked to leave.,0,0,0,1,1,0,0,0
356,There was a security guard talking to me.,1,0,1,1,0,0,0,1
357,I was in a Wal-mart parking lot.,0,0,0,1,1,0,1,0
358,My friend was with me.,0,0,1,1,1,1,1,1
359,I had decided to play her a song.,1,0,1,1,0,0,0,0
360,Allie had not been to church in a long time.,0,0,0,0,0,0,0,0
361,So she decided to go.,1,0,0,0,0,0,0,1
362,She went for a long time.,1,1,0,0,0,0,0,0
363,Thankfully she enjoyed it.,1,1,0,0,0,0,0,0
364,She wanted to go back the next week.,1,1,0,0,0,0,0,1
365,Tim went surfing.,1,0,0,0,0,0,0,1
366,He felt something brush his leg.,1,1,0,1,0,0,0,1
367,He thought it was a shark.,0,0,1,1,0,0,0,0
368,He swam to shore.,0,0,1,1,0,0,0,0
369,He told his friends the story.,0,0,1,1,0,0,0,1
370,Tom needed to get rid of some mice.,0,0,1,1,1,1,1,1
371,He did not want to use poison or traps.,0,0,0,0,0,0,0,0
372,He asked his friend what he should do.,1,1,0,0,0,0,0,1
373,His friend suggested he try adopting a cat or two.,1,1,0,1,0,0,0,1
374,"He got a cat, and his mice problem is over.",1,1,0,0,0,0,0,0
375,Andy was craving some cereal.,0,0,0,0,0,0,0,1
376,He picked out some honey oats from his pantry.,1,1,1,1,1,1,1,1
377,Andy went to the fridge to get some milk.,1,1,0,0,0,0,0,0
378,Andy smelled the milk and noticed it was spoiled.,0,0,1,1,1,1,1,1
379,Andy settled with munching on raw cereal.,0,0,0,1,1,1,1,1
380,Shawn was driving along a country road late one night.,0,0,0,0,0,0,0,0
381,He saw an old farmhouse and decided to explore it.,1,0,1,1,0,0,0,1
382,He went inside the front door and it was so dark.,0,0,1,0,0,0,0,1
383,He tripped over some plaster on the floor and fell down.,1,1,0,1,0,1,1,0
384,Shawn knew he should have brought a flashlight!,0,0,0,1,1,0,1,0
385,My son-in-law's aunt has an 8 year old boy.,0,0,0,0,0,0,0,0
386,He wanted to sell lemonade.,1,0,0,0,0,0,0,1
387,She wanted to help him.,1,0,0,0,0,0,0,1
388,She bought a stand on Amazon for $99.,1,1,0,0,0,0,0,1
389,I was highly amused.,1,0,0,1,0,0,0,1
390,Kay was new to using coupons when shopping.,1,1,1,1,1,1,1,1
391,At the store she purchased 3 things which she had store coupons for.,0,0,0,0,0,0,0,0
392,At checkout she was tired so she went quickly.,0,0,0,0,1,1,1,0
393,When she got to her car she realized she forgot to use her coupons.,0,0,0,1,1,1,1,0
394,Kay was upset since the coupons would have saved her $5.,0,0,0,1,1,1,1,0
395,Tom loved to drunk alcohol.,1,1,0,0,0,0,0,1
396,He also loved to drink and drive.,1,0,0,0,1,1,0,1
397,Tom decided to get more careless one day.,1,1,0,0,0,0,0,1
398,Tom drive straight into a tree.,0,0,1,1,1,1,1,1
399,"Now, drunk Tom is no longer alive.",1,1,1,1,1,1,1,1
400,Jack was taking an important test.,0,1,0,0,0,0,0,1
401,He was really scared he was going to do bad.,0,0,1,0,1,0,0,1
402,He had a bad feeling about his answers.,0,0,1,1,1,1,0,1
403,The next day the scores were handed out.,0,0,1,0,0,0,0,1
404,Jack was instantly relieved to see he got a 99%.,1,0,0,1,0,0,0,0
405,Sarah walked a mile to get to Chick-Fil-A.,0,1,0,1,0,0,0,1
406,It was exceptionally hot outside.,1,0,0,0,1,1,1,1
